New_Combination,Global_Accuracy(%),Global_DataVolume,Global_Latency_Sum(ms),Global_RoundTime_Max(ms),Computation_Time(ms)
C1-C2-C3-C7-C25,41.65999889373779,13995,9601.940870285034,1939.124584197998,13660.009860992432
C5-C8-C9-C20-C25,31.459999084472656,13990,9630.75566291809,1964.8544788360596,13478.334665298462
C1-C5-C7-C9-C17,23.389999568462372,14000,9526.371955871582,1977.7007102966309,13472.678422927856
C1-C7-C8-C10-C20,27.93000042438507,13985,9527.584552764893,1932.5873851776123,13460.846662521362
C1-C2-C4-C9-C21,33.6899995803833,13990,9589.143753051758,1952.9430866241455,13524.103164672852
C1-C5-C10-C19-C25,38.74000012874603,13995,9490.947246551514,1938.1487369537354,13413.992166519165
C1-C2-C8-C21-C23,31.389999389648438,13991,8996.035814285278,1856.7569255828857,12535.021305084229
C6-C7-C10-C22-C24,29.71999943256378,13981,9292.728424072266,1971.3568687438965,13207.655668258667
C2-C3-C6-C17-C24,28.58000099658966,13986,9412.632703781128,1931.278944015503,13528.547525405884
C3-C4-C5-C17-C23,36.23000085353851,13995,9608.18600654602,1954.3359279632568,13657.285928726196
C3-C4-C5-C15-C16,18.850000202655792,13991,9722.605466842651,1967.5953388214111,13583.796501159668
C2-C4-C6-C19-C24,26.069998741149902,13981,12589.928150177002,4926.414489746094,16366.506576538086
C5-C8-C10-C19-C22,13.670000433921814,13986,8983.919382095337,1831.9554328918457,12465.645790100098
C2-C3-C5-C10-C17,36.46999895572662,13990,8786.092281341553,1782.4454307556152,12355.093479156494
C2-C5-C8-C15-C18,23.899999260902405,13986,8825.68645477295,1802.621841430664,12323.456287384033
C4-C9-C10-C17-C19,33.30000042915344,13990,8853.321313858032,1781.5587520599365,12260.659456253052
C1-C5-C6-C17-C19,36.19000017642975,13996,8873.074769973755,1789.4539833068848,12259.338855743408
C2-C3-C7-C16-C19,27.619999647140503,13991,8751.742839813232,1770.369529724121,12133.888483047485
C1-C3-C8-C9-C16,38.510000705718994,13992,8881.362915039062,1799.211025238037,12858.272075653076
C2-C4-C5-C15-C24,26.240000128746033,13985,10047.477006912231,2149.8517990112305,14728.943586349487
C1-C2-C8-C10-C19,27.779999375343323,13986,10308.347463607788,2302.5312423706055,14814.324140548706
C4-C5-C7-C10-C19,22.96999990940094,13990,10427.41870880127,2242.9635524749756,14816.203355789185
C2-C5-C8-C10-C18,22.689999639987946,13981,10663.902759552002,2299.75962638855,15135.279178619385
C2-C7-C8-C17-C19,44.08000111579895,13991,10555.13048171997,2230.128288269043,14914.639234542847
C3-C9-C10-C19-C23,38.37999999523163,13995,10614.244937896729,2308.454751968384,14914.450645446777
C1-C5-C9-C23-C25,30.059999227523804,14000,9502.848625183105,1948.0242729187012,13534.775733947754
C2-C5-C6-C23-C25,35.28999984264374,13991,9504.983901977539,1917.2241687774658,13477.65302658081
C2-C3-C8-C21-C23,26.420000195503235,13991,9686.352252960205,1962.4407291412354,13615.514516830444
C3-C4-C7-C10-C17,33.91999900341034,13990,9567.339420318604,1937.1566772460938,13495.686769485474
C3-C6-C10-C17-C24,28.859999775886536,13986,14490.40937423706,6518.121719360352,18626.18851661682
C3-C7-C8-C17-C25,22.779999673366547,13996,9900.73537826538,2010.8306407928467,13914.417266845703
C1-C5-C8-C21-C25,28.110000491142273,13996,9930.117845535278,2028.1991958618164,13938.457250595093
C1-C7-C10-C21-C24,36.86999976634979,13990,9954.34021949768,2007.0362091064453,13965.626001358032
C2-C3-C6-C19-C23,40.619999170303345,13991,9815.758228302002,2007.765531539917,13896.137475967407
C4-C6-C7-C21-C22,36.320000886917114,13986,9638.140678405762,1958.1263065338135,13776.843309402466
C3-C4-C8-C17-C22,26.96000039577484,13986,9779.99234199524,1988.1069660186768,13894.375085830688
C1-C9-C10-C17-C19,31.790000200271606,13995,9715.988159179688,1975.0597476959229,13647.198677062988
C1-C6-C8-C17-C23,30.619999766349792,13992,9741.795063018799,1977.898120880127,13755.866765975952
C1-C3-C8-C17-C21,21.99999988079071,13996,9725.167751312256,1993.1018352508545,13685.219764709473
C1-C3-C6-C8-C20,14.229999482631683,13986,9889.39118385315,2001.7914772033691,13927.85906791687
C1-C2-C4-C7-C18,21.98999971151352,13985,9609.078884124756,1970.4177379608154,13605.339527130127
C5-C6-C8-C9-C20,22.269999980926514,13986,9683.17198753357,1987.2863292694092,13713.237762451172
C2-C3-C6-C10-C25,37.059998512268066,13986,9753.26681137085,1970.1077938079834,13767.72141456604
C1-C3-C5-C17-C22,27.12000012397766,13995,9715.108394622803,1975.3499031066895,13697.49927520752
C7-C9-C10-C16-C21,30.239999294281006,13991,9677.610158920288,1963.6032581329346,13543.160915374756
C2-C7-C9-C15-C25,39.70000147819519,13995,9687.676906585693,1983.3838939666748,13688.661336898804
C4-C5-C8-C19-C25,40.81999957561493,13991,9635.768413543701,1986.1514568328857,13741.093158721924
C2-C3-C4-C18-C20,10.270000249147415,13979,9705.207109451294,2005.5501461029053,13693.647384643555
C3-C6-C10-C16-C23,35.920000076293945,13987,9765.820503234863,2001.7173290252686,13763.837099075317
C1-C4-C6-C18-C20,22.619999945163727,13980,15355.955123901367,7348.401308059692,19434.481382369995
