New_Combination,Global_Accuracy(%),Global_DataVolume,Global_Latency_Sum(ms),Global_RoundTime_Max(ms),Computation_Time(ms)
C5-C8-C9-C20-C25,11.209999769926071,11993,13553.433179855347,2740.2870655059814,19998.92020225525
C1-C5-C7-C9-C17,8.420000225305557,12000,13483.295917510986,2745.958089828491,19770.14446258545
C1-C7-C8-C10-C20,11.20000034570694,11988,13721.36902809143,2872.466802597046,24734.066009521484
C1-C2-C4-C9-C21,12.389999628067017,11990,13825.188875198364,2817.931652069092,20422.316312789917
C1-C5-C10-C19-C25,14.659999310970306,11995,13766.476392745972,2830.881357192993,20158.960103988647
C1-C2-C8-C21-C23,13.860000669956207,11992,13978.474617004395,2831.0811519622803,20306.596994400024
C6-C7-C10-C22-C24,11.089999973773956,11980,13812.43872642517,2811.4941120147705,20457.444429397583
C2-C3-C6-C17-C24,11.150000244379044,11987,13761.713027954102,2791.461229324341,20427.918672561646
C3-C4-C5-C17-C23,13.109999895095825,11994,13780.048847198486,2819.3819522857666,20644.927978515625
C3-C4-C5-C15-C16,13.729999959468842,11991,13605.830430984497,2793.297052383423,20570.206880569458
C2-C4-C6-C19-C24,11.909999698400497,11981,13839.507579803467,2852.597236633301,20252.191305160522
C5-C8-C10-C19-C22,9.399999678134918,11985,13547.097444534302,2778.3236503601074,20206.375122070312
C2-C3-C5-C10-C17,13.529999554157257,11991,13724.201917648315,2793.0800914764404,20445.361137390137
C2-C5-C8-C15-C18,15.360000729560852,11987,13709.805488586426,2775.0399112701416,19995.487213134766
C4-C9-C10-C17-C19,15.090000629425049,11989,13648.813724517822,2780.067205429077,20202.492713928223
C1-C5-C6-C17-C19,9.690000116825104,11996,13481.18543624878,2775.3944396972656,20247.143268585205
C2-C3-C7-C16-C19,14.219999313354492,11993,12804.412603378296,2737.450361251831,18967.33069419861
C1-C3-C8-C9-C16,11.289999634027481,11993,13706.855535507202,2807.5265884399414,20383.633375167847
C2-C4-C5-C15-C24,11.089999973773956,11985,13603.393077850342,2801.3837337493896,20256.52241706848
C1-C2-C8-C10-C19,11.219999939203262,11987,14287.99319267273,2899.2719650268555,26213.294506072998
C4-C5-C7-C10-C19,13.699999451637268,11989,14033.451795578003,2901.8149375915527,21104.350090026855
