,Unnamed: 0,Combination,C1_DataVolume(MB),C1_FeatureCount,C1_Accuracy(%),C1_Latency(ms),C1_Label0,C1_Label1,C1_Label2,C1_Label3,C1_Label4,C1_Label5,C1_Label6,C1_Label7,C1_Label8,C1_Label9,C2_DataVolume(MB),C2_FeatureCount,C2_Accuracy(%),C2_Latency(ms),C2_Label0,C2_Label1,C2_Label2,C2_Label3,C2_Label4,C2_Label5,C2_Label6,C2_Label7,C2_Label8,C2_Label9,C3_DataVolume(MB),C3_FeatureCount,C3_Accuracy(%),C3_Latency(ms),C3_Label0,C3_Label1,C3_Label2,C3_Label3,C3_Label4,C3_Label5,C3_Label6,C3_Label7,C3_Label8,C3_Label9,C4_DataVolume(MB),C4_FeatureCount,C4_Accuracy(%),C4_Latency(ms),C4_Label0,C4_Label1,C4_Label2,C4_Label3,C4_Label4,C4_Label5,C4_Label6,C4_Label7,C4_Label8,C4_Label9,C5_DataVolume(MB),C5_FeatureCount,C5_Accuracy(%),C5_Latency(ms),C5_Label0,C5_Label1,C5_Label2,C5_Label3,C5_Label4,C5_Label5,C5_Label6,C5_Label7,C5_Label8,C5_Label9,Global_Accuracy(%),Global_DataVolume,Global_Latency_Sum(ms),Global_RoundTime_Max(ms),Combo_List,Old_Combination,New_Combination,Old_Length,_set,_key,normalized_combinations
2373,9798,C2-C4-C5,2396.0,3072.0,11.26,2513.3,187.0,116.0,153.0,465.0,25.0,257.0,874.0,130.0,36.0,153.0,2394.0,3072.0,30.79,2748.65,5.0,1115.0,245.0,131.0,68.0,127.0,154.0,68.0,446.0,35.0,2400.0,3072.0,11.12,2459.37,233.0,229.0,254.0,242.0,227.0,237.0,262.0,245.0,232.0,239.0,2400.0,3072.0,41.97,2559.04,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2395.0,3072.0,31.35,2583.2,329.0,230.0,831.0,114.0,212.0,281.0,214.0,19.0,140.0,25.0,25.297999999999995,11985.0,12863.56,2748.65,0.0,C2-C4-C5,C2-C4-C5-C15-C24,3,"frozenset({2, 4, 5, 15, 24})","(2, 4, 5, 15, 24)","2,4,5,15,24"
6890,14315,C1-C2-C8-C10,2400.0,3072.0,43.66,2556.42,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2396.0,3072.0,11.26,2513.3,187.0,116.0,153.0,465.0,25.0,257.0,874.0,130.0,36.0,153.0,2396.0,3072.0,31.25,2646.87,1.0,1.0,84.0,744.0,10.0,22.0,509.0,134.0,231.0,660.0,2395.0,3072.0,28.29,2844.26,1087.0,275.0,224.0,92.0,13.0,113.0,32.0,32.0,425.0,102.0,2400.0,3072.0,46.09,2529.11,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,32.11,11987.0,13089.96,2844.26,0.0,C1-C2-C8-C10,C1-C2-C8-C10-C19,4,"frozenset({1, 2, 8, 10, 19})","(1, 2, 8, 10, 19)","1,2,8,10,19"
8595,16020,C4-C5-C7-C10,2394.0,3072.0,30.79,2748.65,5.0,1115.0,245.0,131.0,68.0,127.0,154.0,68.0,446.0,35.0,2400.0,3072.0,11.12,2459.37,233.0,229.0,254.0,242.0,227.0,237.0,262.0,245.0,232.0,239.0,2400.0,3072.0,11.75,2583.42,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2395.0,3072.0,28.29,2844.26,1087.0,275.0,224.0,92.0,13.0,113.0,32.0,32.0,425.0,102.0,2400.0,3072.0,46.09,2529.11,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,25.608,11989.0,13164.81,2844.26,0.0,C4-C5-C7-C10,C4-C5-C7-C10-C19,4,"frozenset({4, 5, 7, 10, 19})","(4, 5, 7, 10, 19)","4,5,7,10,19"
8011,15436,C2-C5-C8-C10,2396.0,3072.0,11.26,2513.3,187.0,116.0,153.0,465.0,25.0,257.0,874.0,130.0,36.0,153.0,2400.0,3072.0,11.12,2459.37,233.0,229.0,254.0,242.0,227.0,237.0,262.0,245.0,232.0,239.0,2396.0,3072.0,31.25,2646.87,1.0,1.0,84.0,744.0,10.0,22.0,509.0,134.0,231.0,660.0,2395.0,3072.0,28.29,2844.26,1087.0,275.0,224.0,92.0,13.0,113.0,32.0,32.0,425.0,102.0,2395.0,3072.0,21.24,2678.05,1.0,1.0,383.0,248.0,850.0,245.0,25.0,483.0,33.0,126.0,20.632,11982.0,13141.85,2844.26,0.0,C2-C5-C8-C10,C2-C5-C8-C10-C18,4,"frozenset({2, 5, 8, 10, 18})","(2, 5, 8, 10, 18)","2,5,8,10,18"
3210,10635,C2-C7-C8,2396.0,3072.0,11.26,2513.3,187.0,116.0,153.0,465.0,25.0,257.0,874.0,130.0,36.0,153.0,2400.0,3072.0,11.75,2583.42,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2396.0,3072.0,31.25,2646.87,1.0,1.0,84.0,744.0,10.0,22.0,509.0,134.0,231.0,660.0,2400.0,3072.0,44.21,2904.11,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2400.0,3072.0,46.09,2529.11,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,28.912,11992.0,13176.81,2904.11,0.0,C2-C7-C8,C2-C7-C8-C17-C19,3,"frozenset({2, 7, 8, 17, 19})","(2, 7, 8, 17, 19)","2,7,8,17,19"
4657,12082,C3-C9-C10,2400.0,3072.0,39.87,2578.14,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2400.0,3072.0,41.61,2521.06,237.0,226.0,246.0,243.0,223.0,251.0,263.0,236.0,228.0,247.0,2395.0,3072.0,28.29,2844.26,1087.0,275.0,224.0,92.0,13.0,113.0,32.0,32.0,425.0,102.0,2400.0,3072.0,46.09,2529.11,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2400.0,3072.0,39.49,2595.49,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,39.07,11995.0,13068.06,2844.26,0.0,C3-C9-C10,C3-C9-C10-C19-C23,3,"frozenset({3, 9, 10, 19, 23})","(3, 9, 10, 19, 23)","3,9,10,19,23"
1373,8798,C1-C5-C9,2400.0,3072.0,43.66,2556.42,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2400.0,3072.0,11.12,2459.37,233.0,229.0,254.0,242.0,227.0,237.0,262.0,245.0,232.0,239.0,2400.0,3072.0,41.61,2521.06,237.0,226.0,246.0,243.0,223.0,251.0,263.0,236.0,228.0,247.0,2400.0,3072.0,39.49,2595.49,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2400.0,3072.0,40.98,2916.7,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,35.372,12000.0,13049.04,2916.7,0.0,C1-C5-C9,C1-C5-C9-C23-C25,3,"frozenset({1, 5, 9, 23, 25})","(1, 5, 9, 23, 25)","1,5,9,23,25"
2748,10173,C2-C5-C6,2396.0,3072.0,11.26,2513.3,187.0,116.0,153.0,465.0,25.0,257.0,874.0,130.0,36.0,153.0,2400.0,3072.0,11.12,2459.37,233.0,229.0,254.0,242.0,227.0,237.0,262.0,245.0,232.0,239.0,2396.0,3072.0,14.96,2550.44,239.0,467.0,87.0,392.0,60.0,63.0,465.0,209.0,164.0,250.0,2400.0,3072.0,39.49,2595.49,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2400.0,3072.0,40.98,2916.7,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,23.562,11992.0,13035.3,2916.7,0.0,C2-C5-C6,C2-C5-C6-C23-C25,3,"frozenset({2, 5, 6, 23, 25})","(2, 5, 6, 23, 25)","2,5,6,23,25"
2246,9671,C2-C3-C8,2396.0,3072.0,11.26,2513.3,187.0,116.0,153.0,465.0,25.0,257.0,874.0,130.0,36.0,153.0,2400.0,3072.0,39.87,2578.14,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2396.0,3072.0,31.25,2646.87,1.0,1.0,84.0,744.0,10.0,22.0,509.0,134.0,231.0,660.0,2400.0,3072.0,45.47,2645.19,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2400.0,3072.0,39.49,2595.49,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,33.468,11992.0,12978.99,2646.87,0.0,C2-C3-C8,C2-C3-C8-C21-C23,3,"frozenset({2, 3, 8, 21, 23})","(2, 3, 8, 21, 23)","2,3,8,21,23"
8263,15688,C3-C4-C7-C10,2400.0,3072.0,39.87,2578.14,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2394.0,3072.0,30.79,2748.65,5.0,1115.0,245.0,131.0,68.0,127.0,154.0,68.0,446.0,35.0,2400.0,3072.0,11.75,2583.42,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2395.0,3072.0,28.29,2844.26,1087.0,275.0,224.0,92.0,13.0,113.0,32.0,32.0,425.0,102.0,2400.0,3072.0,44.21,2904.11,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,30.982,11989.0,13658.580000000002,2904.11,0.0,C3-C4-C7-C10,C3-C4-C7-C10-C17,4,"frozenset({3, 4, 7, 10, 17})","(3, 4, 7, 10, 17)","3,4,7,10,17"
4315,11740,C3-C6-C10,2400.0,3072.0,39.87,2578.14,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2396.0,3072.0,14.96,2550.44,239.0,467.0,87.0,392.0,60.0,63.0,465.0,209.0,164.0,250.0,2395.0,3072.0,28.29,2844.26,1087.0,275.0,224.0,92.0,13.0,113.0,32.0,32.0,425.0,102.0,2400.0,3072.0,44.21,2904.11,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2395.0,3072.0,31.35,2583.2,329.0,230.0,831.0,114.0,212.0,281.0,214.0,19.0,140.0,25.0,31.736,11986.0,13460.15,2904.11,0.0,C3-C6-C10,C3-C6-C10-C17-C24,3,"frozenset({3, 6, 10, 17, 24})","(3, 6, 10, 17, 24)","3,6,10,17,24"
4371,11796,C3-C7-C8,2400.0,3072.0,39.87,2578.14,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2400.0,3072.0,11.75,2583.42,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2396.0,3072.0,31.25,2646.87,1.0,1.0,84.0,744.0,10.0,22.0,509.0,134.0,231.0,660.0,2400.0,3072.0,44.21,2904.11,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2400.0,3072.0,40.98,2916.7,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,33.612,11996.0,13629.239999999998,2916.7,0.0,C3-C7-C8,C3-C7-C8-C17-C25,3,"frozenset({3, 7, 8, 17, 25})","(3, 7, 8, 17, 25)","3,7,8,17,25"
1313,8738,C1-C5-C8,2400.0,3072.0,43.66,2556.42,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2400.0,3072.0,11.12,2459.37,233.0,229.0,254.0,242.0,227.0,237.0,262.0,245.0,232.0,239.0,2396.0,3072.0,31.25,2646.87,1.0,1.0,84.0,744.0,10.0,22.0,509.0,134.0,231.0,660.0,2400.0,3072.0,45.47,2645.19,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2400.0,3072.0,40.98,2916.7,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,34.495999999999995,11996.0,13224.55,2916.7,0.0,C1-C5-C8,C1-C5-C8-C21-C25,3,"frozenset({1, 5, 8, 21, 25})","(1, 5, 8, 21, 25)","1,5,8,21,25"
1807,9232,C1-C7-C10,2400.0,3072.0,43.66,2556.42,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2400.0,3072.0,11.75,2583.42,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2395.0,3072.0,28.29,2844.26,1087.0,275.0,224.0,92.0,13.0,113.0,32.0,32.0,425.0,102.0,2400.0,3072.0,45.47,2645.19,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2395.0,3072.0,31.35,2583.2,329.0,230.0,831.0,114.0,212.0,281.0,214.0,19.0,140.0,25.0,32.104,11990.0,13212.490000000002,2844.26,0.0,C1-C7-C10,C1-C7-C10-C21-C24,3,"frozenset({1, 7, 10, 21, 24})","(1, 7, 10, 21, 24)","1,7,10,21,24"
